Opportunity name,Category,Mode of Delivery,Theme,Country,City,Level,Duration,Full/Part,Info,Comments ,Cluster nb,local_lan_requirements,en_requirements
Kiron,University Degree,online,business,Germany,any,1,depends,,https://kiron.ngo/apply/,,17,1,7
Kiron,University Degree,online,computer science,Germany,any,1,depends,,https://kiron.ngo/apply/,,2,1,7
Kiron,University Degree,online,mechanical engineering,Germany,any,1,depends,,https://kiron.ngo/apply/,,6,1,7
Kiron,University Degree,online,political sciences,Germany,any,1,depends,,https://kiron.ngo/apply/,,14,1,7
Kiron,University Degree,online,social work,Germany,any,1,depends,,https://kiron.ngo/apply/,,15,1,7
Kiron,University Degree,online,business,Jordan,any,1,depends,,https://kiron.ngo/apply/,,17,1,7
Kiron,University Degree,online,computer science,Jordan,any,1,depends,,https://kiron.ngo/apply/,,2,1,7
Kiron,University Degree,online,mechanical engineering,Jordan,any,1,depends,,https://kiron.ngo/apply/,,6,1,7
Kiron,University Degree,online,political sciences,Jordan,any,1,depends,,https://kiron.ngo/apply/,,14,1,7
Kiron,University Degree,online,social work,Jordan,any,1,depends,,https://kiron.ngo/apply/,,15,1,7
Kiron,University Degree,online,business,France,any,1,depends,,https://kiron.ngo/apply/,,17,1,7
Kiron,University Degree,online,computer science,France,any,1,depends,,https://kiron.ngo/apply/,,2,1,7
Kiron,University Degree,online,mechanical engineering,France,any,1,depends,,https://kiron.ngo/apply/,,6,1,7
Kiron,University Degree,online,political sciences,France,any,1,depends,,https://kiron.ngo/apply/,,14,1,7
Kiron,University Degree,online,social work,France,any,1,depends,,https://kiron.ngo/apply/,,15,1,7
Delite Labs,Training,onsite,entrepreneurship and incubation,Netherlands,Amsterdam,1,3 months,,http://www.delitelabs.com/signup/,,not applicable,1,7
Delite Labs,Training,onsite,entrepreneurship and incubation,Spain,Valencia,1,4 months,,http://www.delitelabs.com/signup/,,not applicable,1,7
MIT React,Certified Training,hybrid,Computer science,Global,any,2,1 year,,http://react.mit.edu/#apply-to-react,,2,1,7
MIT React,Certified Training,hybrid,data science,Global,any,2,1 year,,https://redischool.typeform.com/to/E8yUaZ,,3,1,7
Redi School of digital integration,Training,onsite,Software/Web/Mobile development,Germany,Berlin,1,3 months,,https://redischool.typeform.com/to/E8yUaZ,,2,1,5
Redi School of digital integration,Training,onsite,Software/Web/Mobile development,Germany,Munich,1,3 months,,https://redischool.typeform.com/to/E8yUaZ,,2,1,5
Redi School of digital integration,Training,onsite,Digital education,Germany,Berlin,1,3 months,,https://redischool.typeform.com/to/E8yUaZ,,not applicable,1,5
Redi School of digital integration,Training,onsite,Digital education,Germany,Munich,1,3 months,,https://redischool.typeform.com/to/E8yUaZ,,not applicable,1,5
R ventures Foundation,Training,hybrid,entrepreneurship and incubation,Netherlands,Amsterdam,1,,,https://docs.google.com/forms/d/e/1FAIpQLSeO0kgjk95ZSnW2UnMBhDbK0pbNagkdjC84jod4XgJVe9ZUHg/viewform,,not applicable,1,7
Code to Change,Training,hybrid,Software/Web/Mobile development,Netherlands ,Amsterdam,1,,,info@codetochange.org,,2,1,7
BSSA program,Certified Training,onsite,Full stack development Javascript,Netherlands,Amsterdam,1,,,http://bssa.nu/apply/,,2,1,7
BSSA program,Certified Training,onsite,UI/UX Designer,Netherlands,Amsterdam,1,,,http://bssa.nu/apply/,,2,1,7
BSSA program,Certified Training,onsite,Digital Content Creator,Netherlands,Amsterdam,1,,,http://bssa.nu/apply/,,12,1,7
BSSA program,Certified Training,onsite,Growth Hacking,Netherlands,Amsterdam,1,,,http://bssa.nu/apply/,,2,1,7
Restart Network,Training,onsite,Software/Web/Mobile development,Netherlands,Rotterdam,2,1 year,,http://admissions.restart.network/,,2,1,7
Hack Your Future,Training,hybrid,Software/Web/Mobile development,Netherlands,Amsterdam,2,6 months,,http://www.hackyourfuture.net/apply,,2,1,7
Hack Your Future,Training,hybrid,Software/Web/Mobile development,Denmark,Copenhagen,2,6 months,,http://www.hackyourfuture.net/apply,,2,1,7
Hack Your Future,Training,hybrid,Software/Web/Mobile development,Sweden,Malmo,2,6 months,,http://www.hackyourfuture.net/apply,,2,1,7
University of the people,University Degree,online,BA business,Global,any,1,depends,,https://www.uopeople.edu/application/,,17,1,7
University of the people,University Degree,online,BA computer science,Global,any,1,depends,,https://www.uopeople.edu/application/,,2,1,7
University of the people,University Degree,online,BA healthcare,Global,any,1,depends,,https://www.uopeople.edu/application/,,5,1,7
University of the people,University Degree,online,MBA ,Global,any,3,,,https://www.uopeople.edu/application/,,17,1,7
University of the people,University Degree,online,Associate degree business,Global,any,2,,,https://www.uopeople.edu/application/,,17,1,7
University of the people,University Degree,online,Associate degree computer science,Global,any,2,,,https://www.uopeople.edu/application/,,2,1,7
University of the people,University Degree,online,Associate degree healthcare,Global,any,2,,,https://www.uopeople.edu/application/,,5,1,7
Singa,Training,onsite,integration,France,Paris,1,,,contact@singa.fr,,not applicable,5,5
Singa,Training,onsite,integration,France,Lyon,1,,,contact@singa.fr,,not applicable,5,5
Singa,Training,onsite,integration,France,Montpellier,1,,,contact@singa.fr,,not applicable,5,5
Singa,Training,onsite,integration,France,Lille,1,,,contact@singa.fr,,not applicable,5,5
Singa,Training,onsite,integration,France,Saint Etienne,1,,,contact@singa.fr,,not applicable,5,5
Singa Finkela Program,Training,onsite,entrepreneurship and incubation,France,Paris,1,,,contact@singa.fr,,not applicable,5,5
Singa Finkela Program,Training,onsite,entrepreneurship and incubation,France,Lyon,1,,,contact@singa.fr,,not applicable,5,5
Singa,Training,onsite,integration,UK,?,1,,,http://www.singa.org.uk/,,not applicable,8,5
Devugees Orientation Course,Training,onsite,Tech Job Orientation,Germany,Berlin,2,4 weeks,,https://digitalcareerinstitute.org/en/orientiation-course/#apply,,2,5,5
Devugees Orientation Course,Training,onsite,Tech Job Orientation,Germany,Dusseldorf,2,4 weeks,,https://digitalcareerinstitute.org/en/orientiation-course/#apply,,2,5,5
Devugees,Training,onsite,Software/Web/Mobile development,Germany,Berlin,1,1 year,,https://digitalcareerinstitute.org/en/courses/one-year-program/#apply,,2,5,5
Devugees,Training,onsite,Software/Web/Mobile development,Germany,Dusseldorf,1,1 year,,https://digitalcareerinstitute.org/en/courses/one-year-program/#apply,,2,5,5
Job4refugees,Job,onsite,IT Support & Networking,Germany,?,2,,,https://migranthire.com/,,1,7,5
Job4refugees,Job,onsite,Data Science & Analytics,Germany,?,2,,,https://migranthire.com/,,3,7,5
Job4refugees,Job,onsite,Software/Web/Mobile development,Germany,?,2,,,https://migranthire.com/,,2,7,5
Job4refugees,Job,onsite,"Skilled Trades (electricians, carpenters,plumbers…)",Germany,?,2,,,https://migranthire.com/,,7,7,5
Job4refugees,Job,onsite,Engineering & Architecture,Germany,?,2,,,https://migranthire.com/,,6,7,5
PMI Institute,Training,onsite,project management,Netherlands,?,1,,,?,,17,1,7
Refugee Talent Hub,Job,onsite,IT Support & Networking,Netherlands,?,2,,,https://www.refugeetalenthub.com/nl/werknemers/functionality/account/register/,,1,3,7
Refugee Talent Hub,Job,onsite,Data Science & Analytics,Netherlands,?,2,,,https://www.refugeetalenthub.com/nl/werknemers/functionality/account/register/,,3,3,7
Refugee Talent Hub,Job,onsite,Software/Web/Mobile development,Netherlands,?,2,,,https://www.refugeetalenthub.com/nl/werknemers/functionality/account/register/,,2,3,7
Refugee Talent Hub,Job,onsite,"Skilled Trades (electricians, carpenters,plumbers…)",Netherlands,?,2,,,https://www.refugeetalenthub.com/nl/werknemers/functionality/account/register/,,7,3,7
Refugee Talent Hub,Job,onsite,Engineering & Architecture,Netherlands,?,2,,,https://www.refugeetalenthub.com/nl/werknemers/functionality/account/register/,,6,3,7
BBQ Berufliche bildung,Training,onsite,?,Germany,?,1,,,https://www.biwe-bbq.de/kontakt.html,,not applicable,7,7
Joblinge Kompass,Training,onsite,integration,Germany ,?,1,6 months,,lara.fisser @ joblinge.de,,not applicable,7,7
stiftung-jobfuehrerschein,Training,onsite,integration into labor market,Germany ,Berlin,1,10 weeks,,info@stiftung-jobfuehrerschein.de,,not applicable,7,7
Chatterbox,Job,online,language tutoring,UK,any,1,depends,Part,https://wearechatterbox.org/tutor-application-form,,8,1,7
Project Integration,Training,onsite,Software/Web/Mobile development,Switzerland,Geneva,1,flex,Part,http://projectintegration.ch/get-involved/#refugees,,2,7,5
Project Integration,Training,onsite,Software/Web/Mobile development,Switzerland,Lausanne,1,flex,Part,http://projectintegration.ch/get-involved/#refugees,,2,7,5
Project Integration,Training,onsite,Digital education,Switzerland,Lausanne,1,flex,Part,http://projectintegration.ch/get-involved/#refugees,,not applicable,5,5
Project Integration,Training,onsite,Digital education,Switzerland,Geneva,1,flex,Part,http://projectintegration.ch/get-involved/#refugees,,not applicable,5,5
Thrive ,Job,onsite,Job portal,Switzerland,Geneva,2,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,1,7,5
Thrive ,Job,onsite,Job portal,Switzerland,Geneva,2,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,2,7,5
Thrive ,Job,onsite,Job portal,Switzerland,Geneva,2,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,5,7,5
Thrive ,Job,onsite,Job portal,Switzerland,Geneva,2,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,6,7,5
Thrive ,Job,onsite,Job portal,Switzerland,Geneva,3,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,7,7,5
Thrive ,Job,onsite,Job portal,Switzerland,Geneva,4,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,9,7,5
Thrive ,Job,onsite,Job portal,Switzerland,Geneva,5,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,10,7,5
Thrive ,Job,onsite,Job portal,Switzerland,Geneva,6,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,15,7,5
Thrive ,Training,onsite,Career orientation/ Integration,Switzerland,Geneva,1,,,http://thrive-association.ch/en/you-would-like-to-apply-for-a-job-an-internship-or-an-apprenticeship/,,not applicable,7,5
Camarada,Training,onsite,integration,Switzerland,Geneva,1,,Part,centre@camarada.ch,only open for women,not applicable,2,5
